"x1" "x2" "y" "color0" "col1" "col2" "col_eucl" "col_gkl" "col_log" "col_ita" "col_poly4" "col_exp" "pred_euc" "pred_gkl" "pred_log" "pred_ita" "pred_exp" "pred_poly4"
-0.662970515200868 -0.239473263593391 0.388832911470784 "group1" "group1" "group1" "1" "1" "1" "1" "1" "1" 0.436852907471281 0.652652039689184 0.41592892618163 0.631992791603143 0.435425095800211 0.605881358295576
-0.892338357167318 -1.04862155078445 0.677484155661273 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.611774239463326 0.600500355097075 0.602588203976618 0.60005454713991 0.612017353610846 0.621369684361805
-0.664230391383171 -0.629592142463662 0.511307451085076 "group1" "group1" "group1" "1" "2" "1" "1" "1" "1" 0.508022428318605 0.488636990489468 0.493840051296166 0.563042962383091 0.507167201312887 0.610515664769852
-0.930345662869513 -1.06639101915061 0.634618933232067 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.61958624873368 0.608425663946711 0.610331582929212 0.608280029815455 0.619936333088213 0.622564232175793
-0.695513522718102 -1.52323843399063 0.670692525072203 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.67447050171399 0.676090168368013 0.675450004007724 0.677089284281746 0.674987423849207 0.62186738505608
-0.38407168770209 -1.72695148666389 0.697932242459139 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.674047690451296 0.683049271323186 0.681637311715415 0.683437756558462 0.674198370558492 0.616199368521422
-0.830242719734088 -0.985930485394783 0.548969388264474 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.59288367472453 0.580623922777094 0.583227021349705 0.57950952454982 0.5929028517463 0.619021021023431
-0.907844196073711 -0.475010899896734 0.494914362202548 "group1" "group1" "group1" "1" "2" "1" "1" "1" "1" 0.509220715962438 0.484174426308122 0.489950327319171 0.548305106000704 0.508658930112947 0.615005474349473
-0.0587837744969875 -1.28572702594101 0.436036719481102 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.554552053263193 0.555705248569806 0.557723150519434 0.551994144056173 0.55336483144838 0.60256515827824
-0.808850754983723 -1.14388808154035 0.62597702660011 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.619062259320139 0.610734471576709 0.612352084681323 0.610340187283225 0.619266589683993 0.620329847707438
-0.942807077663019 -1.64482081320602 0.732151489472481 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1" 0.726385159784143 0.728883933069173 0.727021405646423 0.731867701188493 0.727606795850129 0.629710049262361
