"x1" "x2" "color0" "color_euc" "color_gkl" "color_poly5" "color_ita"
16.1975291178881 2.56150846919956 "1" "1" "1" "1" "1"
17.6139207743108 1.46193350244739 "1" "1" "1" "1" "1"
10.5640171747655 5.25979591508336 "1" "1" "1" "1" "2"
16.0221955087036 4.21633649893806 "1" "1" "1" "1" "1"
14.0557888872374 1.4743392188102 "1" "1" "1" "1" "1"
16.3491828925908 1.19632071163505 "1" "1" "1" "1" "1"
26.3958231537583 5.22593102951474 "1" "1" "2" "1" "1"
25.7072315581049 8.35670971844715 "1" "1" "2" "1" "2"
14.1774693724735 1.88378675282001 "1" "1" "1" "1" "1"
16.9845654256642 5.42187387356267 "1" "1" "1" "1" "1"
94.8097882369414 3.00940012550893 "1" "2" "2" "2" "1"
65.8780762015812 2.77000155751382 "1" "2" "2" "2" "1"
17.6823763921857 1.26885320095502 "1" "1" "2" "1" "1"
44.7690844366439 2.91480054325404 "1" "2" "2" "1" "1"
28.9212749703767 1.2452253876254 "1" "2" "2" "1" "1"
31.182713805789 1.02441705176726 "1" "2" "2" "1" "1"
27.9863105147126 2.10961812362075 "1" "1" "2" "1" "1"
33.3322262755575 3.33537729931065 "1" "2" "2" "1" "1"
34.617350976074 1.84406193252653 "1" "2" "2" "1" "1"
56.929246370954 6.93923838402996 "1" "2" "2" "1" "1"
34.4007329261842 1.51470307912678 "1" "2" "2" "1" "1"
21.6570530086756 2.63690085698466 "1" "1" "2" "1" "1"
10.1345666009742 1.82923132926226 "1" "1" "1" "1" "1"
35.0395869827809 1.85952321626246 "1" "2" "2" "1" "1"
42.8442587908795 2.11574586480856 "1" "2" "2" "1" "1"
33.4979701033773 2.15906272083521 "1" "2" "2" "1" "1"
24.8677687524798 1.12883507741815 "1" "1" "2" "1" "1"
16.3423425262954 2.90958239129725 "1" "1" "1" "1" "1"
84.7444416168046 5.31305809666343 "1" "2" "2" "2" "1"
21.6146710608155 1.15490393526852 "1" "1" "2" "1" "1"
11.6144318780056 5.56424200137086 "1" "1" "1" "1" "2"
15.844514007424 4.28049568070059 "1" "1" "1" "1" "1"
34.6291721231284 3.90537139054178 "1" "2" "2" "1" "1"
22.7845050359956 1.4629663877273 "1" "1" "2" "1" "1"
33.1876074904266 5.30568051685519 "1" "2" "2" "1" "1"
20.6265598349273 1.57943688183602 "1" "1" "2" "1" "1"
15.025339666754 2.86171543403509 "1" "1" "1" "1" "1"
43.1241083460937 3.37765864646974 "1" "2" "2" "1" "1"
62.8769580622144 5.63066285408332 "1" "2" "2" "1" "1"
18.0360972695053 2.7543916272926 "1" "1" "1" "1" "1"
17.3168059862282 1.3011927716434 "1" "1" "1" "1" "1"
13.0433785356581 1.11819939594716 "1" "1" "1" "1" "1"
43.6404762772803 2.62257006197217 "1" "2" "2" "1" "1"
17.8727795835584 3.65435601203682 "1" "1" "1" "1" "1"
20.2809169143438 2.09573362581432 "1" "1" "2" "1" "1"
66.805149313427 1.8332942975685 "1" "2" "2" "2" "1"
26.1369983380356 1.82371273543686 "1" "1" "2" "1" "1"
22.8442143648863 4.36045113898007 "1" "1" "2" "1" "1"
20.918290168047 1.55493179615587 "1" "1" "2" "1" "1"
30.1523647448959 5.5359783686546 "1" "2" "2" "1" "1"
70.7869418342767 1.49290269054472 "1" "2" "2" "2" "1"
29.1999448827448 1.35974122888037 "1" "2" "2" "1" "1"
46.6524043289905 7.00164052994812 "1" "2" "2" "1" "1"
19.3811602331698 2.70836245073917 "1" "1" "2" "1" "1"
11.6034199669957 1.95777197275311 "1" "1" "1" "1" "1"
92.1870992663217 1.5043590022251 "1" "2" "2" "2" "1"
34.7431524089518 3.3250725827271 "1" "2" "2" "1" "1"
24.2222022484555 2.59683109030189 "1" "1" "2" "1" "1"
65.1447852303214 1.30203506164253 "1" "2" "2" "2" "1"
66.4252275224535 1.65604289807379 "1" "2" "2" "2" "1"
15.2635814536397 3.63905550344827 "1" "1" "1" "1" "1"
12.7499926555902 7.36792569386187 "1" "1" "1" "1" "2"
10.5544587224722 3.96224344523859 "1" "1" "1" "1" "1"
26.9711859156436 2.5457124839628 "1" "1" "2" "1" "1"
69.4710669136192 2.5884420570159 "1" "2" "2" "2" "1"
21.5084682870656 2.52821968487444 "1" "1" "2" "1" "1"
12.3618761395115 1.00775331807078 "1" "1" "1" "1" "1"
28.8211665480378 6.55699959363709 "1" "1" "2" "1" "2"
40.2080852812376 2.26511630229652 "1" "2" "2" "1" "1"
10.6064664731511 6.07493647285938 "1" "1" "1" "1" "2"
28.7314694847265 6.37598927666373 "1" "1" "2" "1" "2"
16.1827437672764 2.01903485789071 "1" "1" "1" "1" "1"
21.3124372530729 7.77704469891478 "1" "1" "2" "1" "2"
22.3593358788639 2.8554955672563 "1" "1" "2" "1" "1"
15.6270279921591 1.1023067953065 "1" "1" "1" "1" "1"
19.335710555315 1.06617934256792 "1" "1" "2" "1" "1"
34.7272219500485 4.44033461792355 "1" "2" "2" "1" "1"
24.2823734109365 1.78367526084185 "1" "1" "2" "1" "1"
74.366242325309 3.14686043924916 "1" "2" "2" "2" "1"
17.1014806907624 8.35612548473192 "1" "1" "1" "1" "2"
11.177959587993 2.89738640764045 "1" "1" "1" "1" "1"
49.0347860392944 1.58697170205414 "1" "2" "2" "1" "1"
77.7100743319759 1.10758175971093 "1" "2" "2" "2" "1"
33.0344702481272 1.090750859119 "1" "2" "2" "1" "1"
13.6326462868601 3.99704391663851 "1" "1" "1" "1" "1"
21.7657964676619 1.09206073265523 "1" "1" "2" "1" "1"
39.1065606783792 4.08917453985203 "1" "2" "2" "1" "1"
39.9399014173036 4.5674711166132 "1" "2" "2" "1" "1"
46.9493316469674 1.04571266646057 "1" "2" "2" "1" "1"
12.0814001035835 7.32450294942563 "1" "1" "1" "1" "2"
11.1172095406801 2.59013611936513 "1" "1" "1" "1" "1"
27.7404191882529 1.8400047654286 "1" "1" "2" "1" "1"
29.8280155091527 1.24294921015352 "1" "2" "2" "1" "1"
70.4880349245062 1.31329737883061 "1" "2" "2" "2" "1"
49.0413910133724 3.04170310832163 "1" "2" "2" "1" "1"
29.1709264918211 1.1349338684231 "1" "2" "2" "1" "1"
23.2254301104695 1.29206730611622 "1" "1" "2" "1" "1"
31.9737819015029 1.50136400826663 "1" "2" "2" "1" "1"
39.5502420125489 3.905489115749 "1" "2" "2" "1" "1"
68.2287102904091 4.56349087862258 "1" "2" "2" "2" "1"
29.9158626991963 1.20268121929729 "1" "2" "2" "1" "1"
11.7043817480441 1.1516178086702 "1" "1" "1" "1" "1"
17.3074887519201 3.53110261998119 "1" "1" "1" "1" "1"
16.1059245775402 5.306426073214 "1" "1" "1" "1" "1"
16.2640860171927 1.15806380100548 "1" "1" "1" "1" "1"
11.8721258437182 8.75404430511308 "1" "1" "1" "1" "2"
30.3623826048317 3.45264889291468 "1" "2" "2" "1" "1"
15.9022273013167 1.56168701127172 "1" "1" "1" "1" "1"
23.2399558927864 1.4289194083933 "1" "1" "2" "1" "1"
33.5864035963061 2.82393019379493 "1" "2" "2" "1" "1"
10.9072833135724 1.89738773047543 "1" "1" "1" "1" "1"
11.3039224256029 1.54835064634008 "1" "1" "1" "1" "1"
27.9623363158646 3.33065986066105 "1" "1" "2" "1" "1"
14.1010926198214 1.0211593285203 "1" "1" "1" "1" "1"
11.6397135221546 3.52580379500034 "1" "1" "1" "1" "1"
40.3156164644246 2.56313792793992 "1" "2" "2" "1" "1"
57.2288353127692 2.69146422434975 "1" "2" "2" "1" "1"
12.7252694093961 1.69401579163969 "1" "1" "1" "1" "1"
41.1998240632897 1.55152508964595 "1" "2" "2" "1" "1"
55.5607095633296 4.73415461910849 "1" "2" "2" "1" "1"
21.8893025070429 2.85677387184444 "1" "1" "2" "1" "1"
44.4312783313875 4.41213935969358 "1" "2" "2" "1" "1"
16.8399086801022 2.06545767281204 "1" "1" "1" "1" "1"
26.4933807395691 1.86186495354448 "1" "1" "2" "1" "1"
40.7254113985186 1.37857527021056 "1" "2" "2" "1" "1"
50.6112934259658 2.45611463091403 "1" "2" "2" "1" "1"
52.1888852833882 1.74839300382882 "1" "2" "2" "1" "1"
14.5590422581881 7.76649811830292 "1" "1" "1" "1" "2"
70.4751569200237 1.31998268421739 "1" "2" "2" "2" "1"
14.2472845886294 7.45491623844872 "1" "1" "1" "1" "2"
16.9995054136962 1.37266026669731 "1" "1" "1" "1" "1"
24.8618234871867 4.70660844206669 "1" "1" "2" "1" "1"
