"x1" "x2" "y" "color0" "col1" "col2" "col_eucl" "col_gkl" "col_log" "col_ita" "col_poly4" "col_exp"
-0.662970515200868 -0.239473263593391 0.388832911470784 "group1" "group1" "group1" "1" "1" "1" "1" "1" "1"
-0.892338357167318 -1.04862155078445 0.677484155661273 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.664230391383171 -0.629592142463662 0.511307451085076 "group1" "group1" "group1" "1" "2" "1" "1" "1" "1"
-0.930345662869513 -1.06639101915061 0.634618933232067 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.695513522718102 -1.52323843399063 0.670692525072203 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.38407168770209 -1.72695148666389 0.697932242459139 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.830242719734088 -0.985930485394783 0.548969388264474 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.907844196073711 -0.475010899896734 0.494914362202548 "group1" "group1" "group1" "1" "2" "1" "1" "1" "1"
-0.0587837744969875 -1.28572702594101 0.436036719481102 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.808850754983723 -1.14388808154035 0.62597702660011 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.942807077663019 -1.64482081320602 0.732151489472481 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.0611568274907768 -0.162551121250726 0.369549953826612 "group1" "group1" "group1" "1" "3" "2" "3" "1" "2"
-0.757632825290784 -1.802798779984 0.694339975372968 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.28631686931476 -1.31222780132666 0.57557007529289 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.259596526157111 -0.965643603145145 0.433170957969992 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.95562231191434 -1.87270742878318 0.826227998417194 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
-0.726797344628721 -1.59709678287618 0.66817781533796 "group1" "group1" "group1" "1" "2" "1" "2" "1" "1"
